title,year,runtime_minutes,genres,average_rating,num_votes
Hollywood in the Atomic Age - Monsters! Martians! Mad Scientists!,2021,120,"Horror,Sci-Fi",6.9,50
Monster: The Josef Fritzl Story,2015,48,"Crime,Documentary",4.9,1838
My Stuffed Animal Is a Monster,2009,76,"Comedy,Horror",6.6,12
Mike Mignola: Drawing Monsters,2022,98,Documentary,7.7,138
H.P. Lovecraft's Monster Portal,2022,80,"Drama,Fantasy,Horror",3.2,318
Monsters of Florence,2020,95,"Crime,Documentary",5.9,131
Shelter: A Monster Movie,2009,NA,Crime,7.4,11
Monster High: The Movie,2022,92,"Action,Adventure,Comedy",5.1,3555
Ape vs. Monster,2021,88,"Action,Adventure,Sci-Fi",2.2,1022
Carnal Monsters,2021,NA,Horror,4.4,32
Monsters University,2013,104,"Adventure,Animation,Comedy",7.2,399330
Making the Manticore Monsters,2003,6,"Documentary,Short",6.5,46
"Monsters, Marriage and Murder in Manchvegas",2009,80,"Adventure,Comedy",6,105
Mega Monster Battle: Ultra Galaxy Legends - The Movie,2009,96,"Action,Adventure,Family",7,405
Monster Mutt,2011,89,"Comedy,Family,Sci-Fi",3.7,339
Monsters,2010,94,"Adventure,Drama,Romance",6.3,98700
Smallville's Doomsday: The Making of a Monster,2009,16,"Documentary,Short",6.8,20
Monsters vs Aliens: Mutant Pumpkins from Outer Space,2009,26,"Action,Adventure,Animation",6.3,3387
Monster from British Hell,2021,72,Comedy,5.5,36
Are We Monsters,2021,90,"Drama,Fantasy",5.2,553
Facing Monsters,2021,90,Documentary,6.7,122
You Asked to See the Monster,2019,NA,Crime,7.9,35
Water Monster,2019,78,Fantasy,5.2,138
Forest monster,2021,70,"Comedy,Horror,Sci-Fi",6.8,474
Monster Family 2,2021,103,"Animation,Comedy,Family",4.9,1225
The Wacky Adventures of Ronald McDonald: The Monster O' McDonaldland Loch,2003,40,"Adventure,Animation,Comedy",7.5,79
Gods and Monsterss,2021,NA,"Drama,Fantasy,Sci-Fi",7.2,16
Sky Monster,2023,NA,"Horror,Sci-Fi",2.5,328
The Monster Beneath Us,2024,103,"Horror,Mystery,Thriller",8.2,24
Monster in the Shadows,2021,136,"Crime,Documentary,Mystery",6.7,596
Legend's End: The Loch Ness Monster Story,2021,NA,Documentary,6.6,18
Kill the Monster,2021,113,"Action,Fantasy",6.7,67
Hunting Monster,2021,83,Action,6.5,56
Monsters in the Closet,2022,89,"Comedy,Thriller",2.7,140
Fox Monster,2021,82,Action,6.8,64
Monsterwolf,2010,90,"Fantasy,Horror",3.6,1140
In Search of Monsters,2021,88,Documentary,7.6,71
The Loch Ness Monster Revealed,2009,NA,Documentary,6.6,11
Monster Bug Wars!,2009,NA,Documentary,7.6,29
Monster,2022,135,"Action,Adventure,Crime",4.4,3162
The Hideous Bog Monster,2021,110,Horror,1.2,15
Monster,2010,85,"Action,Adventure,Comedy",4.8,16
Scooby-Doo! Curse of the Lake Monster,2010,79,"Adventure,Comedy,Family",4.8,5622
Water Monster 2,2021,84,Horror,7,45
Snow Monster,2019,83,"Action,Adventure,Fantasy",4.5,201
Monster Cruise,2010,90,Comedy,4.9,30
Monster Python,2018,64,"Horror,Thriller",4.2,51
Modern Monster Movie-making: The Making of 'Monsters vs Aliens',2009,15,"Documentary,Short",4.8,12
The Invisible Atomic Monsters from Mars,2010,75,"Drama,Horror,Sci-Fi",5.7,21
Monster Heroes,2010,100,Comedy,6.4,77
Monsters in the Woods,2012,96,Horror,2.6,1497
Bikini Monsters,2010,90,"Horror,Sci-Fi",3.5,40
Monster Brawl,2011,89,"Action,Comedy,Horror",3.6,2650
The Amateur Monster Movie,2011,99,"Comedy,Horror",6.5,103
Sesame Street: Cookie Monster's Best Bites,1995,60,Family,8.1,29
OJ Simpson: Monster or Myth?,2010,51,Documentary,4.9,99
The Aurora Monsters: The Model Craze That Gripped the World,2010,104,"Comedy,Documentary,Fantasy",8.1,19
Flying Monsters 3D with David Attenborough,2011,40,Documentary,7.5,1046
Monster High: New Ghoul at School,2010,23,"Animation,Fantasy",6.8,775
Monster of the House,2011,NA,Comedy,6.1,14
Friends: Naki on the Monster Island,2011,87,"Adventure,Animation,Comedy",6.3,345
Gods & Monsters: Homer's Odyssey,2010,NA,Documentary,7,18
Lollipop Monster,2011,90,Drama,6.4,466
The Sousea Water Monster,2021,NA,Action,7.4,105
Sesame Street: C is for Cookie Monster,2010,67,Family,8.5,17
Rifftrax: Attack of the Super Monsters,2019,NA,Comedy,7.3,41
Percy Jackson: Sea of Monsters,2013,106,"Adventure,Family,Fantasy",5.7,128599
The Monsters' Dinner,2011,85,"Comedy,Drama",5.8,233
The Puppet Monster Massacre,2010,70,"Adventure,Animation,Comedy",5.4,225
Dragon Lizard Lord Super Monsters,2022,NA,"Comedy,Sci-Fi",5,11
Monsters: Dark Continent,2014,119,"Action,Drama,Sci-Fi",4.3,11304
Underground Monster,2022,90,"Adventure,Drama,Family",4.8,153
Scariest Monsters in America,2022,85,Documentary,4.7,156
Monsters and Mysteries in Alaska,2010,NA,Documentary,6,39
The Angry Black Girl and Her Monster,2023,91,"Drama,Fantasy,Horror",5.4,2186
Monsters Club,2011,71,Drama,6.2,371
The Monster Mash,2022,114,Horror,6.4,112
Ocean City Monster Building,2022,90,"Comedy,Drama,Mystery",6.3,28
Kamen Rider Kuuga vs. the Strong Monster Go-Jiino-Da,2000,NA,"Sci-Fi,Short",5.5,47
The Monsters,2011,81,Drama,6.9,56
Sky Monsters,2005,90,Documentary,7.4,44
"Dinosaurs, Myths and Monsters",2011,60,Documentary,7,34
Attack of the Alien Jelly Monsters from the Depths of Uranus,2011,NA,"Comedy,Horror,Sci-Fi",6,17
Golden Kamuy OAD: Monster,2019,22,"Animation,Short",7.2,18
Ninjas vs. Monsters,2012,90,"Action,Comedy,Horror",3.2,172
Monster Killer,2011,87,"Action,Horror",4.7,152
Monster Jellyfish,2010,50,Documentary,7.9,19
The Boy in the Tiny House and the Monster Who Lived Next Door,2022,105,Horror,5.9,26
Seamonsters,2011,97,Drama,6.6,363
Monster High: Why Do Ghouls Fall in Love?,2012,44,"Animation,Family,Fantasy",7,1219
The AckerMonster Chronicles!,2012,90,Documentary,8.7,33
Little Monsters,2012,107,"Crime,Drama,Horror",4.8,332
The Return of the Loch Ness Monster from Outer Space,2012,79,"Action,Comedy,Fantasy",7.5,18
"Humanoid Monster, Bem the Movie",2012,NA,Horror,5.4,119
Scooby-Doo 2: Monsters Unleashed - Deleted Scenes,2004,7,"Mystery,Short",7.4,28
Love and Monsters,2020,109,"Action,Adventure,Comedy",6.9,149118
Mighty Mighty Monsters in New Fears Eve,2013,45,Animation,8.2,28
Grampa's Monster Movies,1988,65,"Comedy,Fantasy,Horror",7.2,19
Laura's Star and the Dream Monster,2011,65,"Animation,Family",6,88
